"siteIDScheme","WBCategory","determinandC","analysed","media","NSamples","minValue","meanValue","maxValue","sd","method"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",7,0.026,0.037,0.044,0.007,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.021,0.026,0.033,0.005,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,77.25,77.25,77.25,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,80.4,83.969,87.538,5.047,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,95.5,95.5,95.5,NA,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",6,0.015,0.017,0.019,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,5.6,7.28,9.26,1.528,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,80.75,84.5,88.25,5.303,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",10,4.366,7.53,9.133,1.397,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,10.6,11.636,12.672,1.465,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.011592,0.0145544,0.0176456,0.0033,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,77,84.5833,88,5.1595,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.014168,0.87584,2.126488,0.766,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",6,63,70.634,76.625,5.065,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,9,65.8,93.5,37.288,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.007,0.007,0.008,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,49,54.833,60.666,8.249,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,4.633,6.366,8.1,2.451,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,72.571,78.523,87,7.538,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,7.55,9.176,10.283,1.24,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,75.333,77.266,79.2,2.734,"SFS 3040"
"eionetMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.35,9.125,9.9,1.096,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.0174,0.0185,0.0196,0.0016,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.150696,0.365792,0.580888,0.236,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.01288,0.018032,0.023184,0.003,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,32.5,55.687,82.666,20.789,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.003,0.004,0.004,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.046368,0.162288,0.278208,0.127,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.942,10.104,11.266,1.643,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.015,0.019,0.022,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.013,0.019,0.031,0.01,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,86.5,86.5,86.5,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,48.5,71.5,94.5,32.526,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,83.818,85.325,86.833,2.13203,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,8.118,9.048,11.11,1.409,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,65.366,79.566,93.766,20.081,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",3,0.02576,0.033488,0.047656,0.009,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",9,17.75,30.305,44.75,10.073,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.006,0.007,0.009,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.016,0.019,0.022,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",6,2.4,6.958,11.45,4.03,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.003864,0.005152,0.007728,0.002,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,2.625,6.3583,9.0667,3.3409,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.01,0.012,0.014,0.002,"SFS 3026"
"eionetMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,62.5,86.562,108,18.274,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,67.833,68.333,68.833,0.707,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,63.5,76.478,91,12.184,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.016,0.021,0.025,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.001288,0.00322,0.005152,0.0021,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.003864,0.023184,0.042504,0.021,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.003864,0.003864,0.003864,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.021,0.021,0.021,NA,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,91,91,91,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,75.125,75.125,75.125,NA,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.003,0.003,0.004,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,53.75,69.913,89.666,17.109,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,7.2,7.92,8.6,0.5461,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",2,7.8,9.2,10.6,1.98,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.008,0.01,0.012,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",11,9.161,11.055,13.827,1.732,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,11.266,11.266,11.266,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.005152,0.007728,0.009016,0.002,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.02,0.024,0.028,0.005,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,98.75,98.75,98.75,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,5.1,6.6733,9.3,2.2896,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.1625,8.375,9.5875,1.7147,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.0115,0.0115,0.0115,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,67,80.25,93.5,18.738,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,76.7778,76.7778,76.7778,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,6.98,7.68,8.38,0.989,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,6.25,6.925,7.6,0.954,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,8.5,10.12,11.9,1.523,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",2,1.19,3.075,4.96,2.66579256507328,"EN 25813:1992"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",1,2.65,2.65,2.65,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.018032,0.020608,0.021896,0.002,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,9.133,9.975,11.25,0.899,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,4.84,6.52,8.2,2.3759,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.007728,0.007728,0.007728,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.008,0.009,0.01,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,10,10,10,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,68.6667,68.6667,68.6667,0,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",13,0.043,0.073,0.2,0.042,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",9,0.055384,0.322,1.361416,0.358,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.533,8.227,8.922,0.982,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.049,0.065,0.082,0.023,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.017,0.021,0.027,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.005,0.0055,0.006,7e-04,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,7.92,8.516,9.28,0.695,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.027,0.027,0.027,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.023,0.027,0.033,0.005,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.275,9.962,11.65,2.386,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,9.0462,9.0462,9.0462,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.002,0.002,0.004,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.322,8.5,9.677,1.665,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,74.473,82.19,88.538,5.903,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.042,0.045,0.047,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.0036064,0.0069552,0.013524,0.0035,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.009,0.011,0.013,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",6,0.001288,0.046368,0.10304,0.032,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.007,0.01,0.013,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,7.83,9.251,10.011,1.231,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.15,8.875,9.6,1.025,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,5.8,8.3,10.8,3.535,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,81.285,81.976,82.666,0.976,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.012,0.012,0.014,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,3.95,7.761,10.433,3.388,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,78.333,81.5,84.666,4.478,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,3.687,5.381,7.075,2.395,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.02,0.023,0.029,0.003,"SFS 3026"
"eionetMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,90,90,90,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,81,85.8095,90.4286,4.7172,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,82.1667,82.1667,82.1667,0,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.00644,0.011592,0.015456,0.004,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.6,8.75,8.9,0.2121,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,53,59.6,66.2,9.3338,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.0337,0.034,0.0343,5e-04,"SFS 3026"
"euMonitoringSiteCode","RW","EEA_3132-01-2","total","water",6,9.1,11.45,13.7,2.0364,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,12,55.312,94,35.618,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,62.2,73.54,85.5,10.7465,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.008,0.008,0.008,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.487,7.556,7.625,0.097,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,6.333,37.5,78.666,30.652,"SFS 3040"
"eionetMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,8.5,8.5,8.5,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",3,0.010304,0.034776,0.048944,0.016,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.01,0.01,0.011,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,72.2,73.2,74.2,1.414,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.01,0.011,0.012,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.019,0.023,0.027,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,36,63.933,100.333,24.061,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,40.9,60.976,74.833,12.611,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,9.568,10.21,10.852,0.908,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",10,76.714,84.191,92.714,5.867,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,62.285,66.711,72.714,5.39,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.074,0.074,0.074,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,66.4286,71.6349,79.1429,6.6623,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,5.125,7.6,10.725,2.514,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,80,80,80,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,55.666,58.166,60.666,3.535,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.005152,0.010304,0.018032,0.004,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.01,0.011,0.012,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,29.5,29.5,29.5,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.133,7.683,8.233,0.777,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,80,84.25,88.5,6.01,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",9,50.8,74.995,92.333,16.355,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,6.5,7.057,7.5,0.509,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.0099176,0.0099176,0.0099176,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.006,0.015,0.023,0.012,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,56.083,59.541,63,4.89082,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,75.111,81.618,88.125,9.202,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,9.2375,9.2375,9.2375,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8,8.333,8.666,0.471,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,39,61.166,83.333,31.348,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.010304,0.010304,0.011592,0,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,66,68.362,70.725,3.341,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.024,0.033,0.046,0.011,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.001288,0.005152,0.009016,0.004,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,70.8571,70.8571,70.8571,0,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.005152,0.010304,0.021896,0.006,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.006,0.006,0.007,0,"SFS 3026"
"eionetMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,0,5.533,8.7,4.808,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.015,0.018,0.02,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.025,0.028,0.034,0.003,"SFS 3026"
"eionetMonitoringSiteCode","RW","EEA_3132-01-2","total","water",11,6.65,7.93273,11.38,1.33411,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,5.1,7.195,9.3,2.1409,"EN 25813:1992"
"eionetMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,65.93,68.865,71.8,4.15,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.006,0.007,0.008,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.118496,0.303968,0.39928,0.101,"SFS 3032 + EN ISO 11732"
"eionetMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8,8.325,8.65,0.4596,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.01,0.01,0.01,NA,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.013,0.013,0.014,0.001,"SFS 3026"
"eionetMonitoringSiteCode","RW","EEA_3132-01-2","total","water",13,8.4,11.4,13.7,1.7,"EN 25813:1992"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",1,5.37,5.37,5.37,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.35,9.625,10.9,1.8031,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.008,0.009,0.011,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.018032,0.018032,0.018032,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,74,74,74,NA,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.014,0.031,0.04,0.009,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",6,8.127,9.752,12.185,1.413,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.019,0.025,0.029,0.005,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.008,0.011,0.013,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,71.666,78.296,90.333,10.442,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,7.05,7.316,7.75,0.378,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",1,5.8,5.8,5.8,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,38.6667,38.6667,38.6667,0,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,5.2,7.5,8.9,2.007,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.055384,0.171304,0.287224,0.126,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,40,63.6667,87.3333,33.4697,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.002576,0.005152,0.00644,0.001,"SFS 3032 + EN ISO 11732"
"eionetMonitoringSiteCode","RW","EEA_3132-01-2","total","water",11,7.48,10.9145,17.79,3.06581,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,5.933,7.554,9.25,1.568,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.033,9.075,10.116,1.473,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,77.181,79.757,82.333,3.642,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,5.44,6.751,8.7,1.57,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",12,48,75.694,96.5,17.863,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,69.142,79.821,90.5,15.101,"SFS 3040"
"eionetMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.014,0.014,0.015,0,"SFS 3026"
"euMonitoringSiteCode","RW","EEA_3132-01-2","total","water",4,8.8,10.575,11.9,1.3022,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,5.814,6.55,7.285,1.04,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,8.61,9.262,10.25,0.677,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,5.7857,7.0929,8.4,1.8486,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.013,0.015,0.017,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",10,0.016744,0.641424,1.885632,0.627,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,3.95,5.9083,7.8667,2.7695,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,3.93,6.116,8.525,2.056,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.01,0.012,0.013,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.003864,0.005152,0.005152,0.00061,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.039928,0.039928,0.039928,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,3.633,7.446,10.133,2.737,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.01,0.013,0.016,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,5.12,6.473,7.775,1.132,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.028,0.04,0.055,0.013,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.001288,0.005152,0.007728,0.003,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.011,0.011,0.012,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.0126,0.0167,0.02,0.0038,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.037,0.055,0.078,0.017,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.002576,0.002576,0.002576,0,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.006,0.007,0.007,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,83,88.612,95.307,3.578,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",9,0.002576,0.020608,0.055384,0.015,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.0103,0.0103,0.0103,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",3,0.005,0.007,0.009,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.002,0.003,0.004,0.001,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,5.566,6,6.733,0.638,"SFS 3040 SFS-EN 25813"
