"siteIDScheme","WBCategory","determinandC","analysed","media","NSamples","minValue","meanValue","maxValue","sd","method"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,83,83.857,84.714,1.212,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.014168,0.015456,0.016744,0.001,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",2,4.08,5.8,7.52,2.432,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,6.76,8.503,9.55,1.519,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.9,9.3,9.7,0.565,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,81,82.357,83.714,1.91929,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",3,0.002576,0.00644,0.01288,0.004,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",4,0.005152,0.011592,0.023184,0.006,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,9.3167,9.7958,10.275,0.6776,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",6,0.017,0.021,0.028,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",5,0.006,0.012,0.014,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.7,8.05,8.4,0.495,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,37.333,70.166,87.666,28.455,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.0305256,0.0305256,0.0305256,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,8.371,9.392,10.414,1.444,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.0074704,0.0123648,0.0171304,0.0053,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.0128,0.0128,0.0128,NA,"SFS 3026"
"eionetMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,6.328,7.714,9.1,1.959,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,4.7,7.426,9.3,2.415,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,8.642,10.157,11.114,1.326,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.014,0.016,0.018,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,51.3333,59.6667,68,11.7851,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.0103,0.0103,0.0103,NA,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",4,5.766,7.752,9.614,1.665,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,7.711,9.161,10.611,2.05,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.015456,0.02576,0.036064,0.01,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,61.75,79.166,96,17.132,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",6,0.002576,0.003864,0.009016,0.001,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,68.6,81.34,95.8,11.529,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,72.714,73.023,73.333,0.437,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,3.8,7.03,9.075,1.995,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,104,104,104,NA,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,8.033,8.033,8.033,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,5.225,6.7625,8.3,2.1744,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.877128,1.0772832,1.2775672,0.2198,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",6,0.02,0.027,0.035,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,46.75,58.5167,71.2,12.2507,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,8.6857,9.4231,10.16,0.5914,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,6.85,7.794,9.3,1.317,"SFS 3040 SFS-EN 25813"
"eionetMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.01,0.012,0.014,0.003,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",6,0.007,0.01,0.018,0.004,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,4.94,7.12,9.5,2.286,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,54,65.944,84.5,16.289,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",4,33.25,53.812,83,20.92,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",6,0.014,0.026,0.038,0.009,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.008,0.008,0.008,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",5,0.007728,0.016744,0.041216,0.01,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,6.75,6.75,6.75,NA,"SFS 3040 SFS-EN 25813"
"eionetMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,74,87.45,99,9.67146,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.0037,0.0037,0.0037,0,"SFS 3026"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",1,1,1,1,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",1,9.1692,9.1692,9.1692,NA,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,83.5,89.333,93,5.107,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",6,62,71.555,89,9.422,"SFS 3040"
"euMonitoringSiteCode","RW","EEA_3131-01-9","total","water",24,73,87.9792,100,6.1969,"EN 25813:1992"
"eionetMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.018,0.018,0.019,0,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",4,0.0305,0.0453,0.0655,0.0166,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,91.5,91.5,91.5,0,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,69.333,83.166,97,19.563,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,54.2,64.183,74.166,14.118,"SFS 3040"
"eionetMonitoringSiteCode","RW","EEA_3132-01-2","total","water",1,9.6,9.6,9.6,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,48.5,51.166,53.833,3.771,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",5,5.877,7.482,9.685,1.561,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",8,54.5,74.406,96.75,15.399,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,73.105,76.552,80,4.875,"SFS 3040"
