"siteIDScheme","WBCategory","determinandC","analysed","media","NSamples","minValue","meanValue","maxValue","sd","method"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",5,37.2,60.432,81.6,20.174,"SFS 3040"
"eionetMonitoringSiteCode","RW","EEA_3132-01-2","total","water",4,10.5,10.9,11.3,NA,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,74.857,74.928,75,0.101,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",6,0.005,0.006,0.008,0,"SFS 3026"
"eionetMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,78.5,78.5,78.5,NA,"SFS 3040"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,95.5,95.5,95.5,NA,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.004,0.004,0.004,NA,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,4.4,6.4667,8.5333,2.9227,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",7,0.009,0.013,0.017,0.002,"SFS 3026"
"euMonitoringSiteCode","LW","CAS_7723-14-0","total","water",1,0.0047,0.0047,0.0047,NA,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",2,10.062,10.078,10.093,0.022,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",1,0.001288,0.001288,0.001288,NA,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3132-01-2","total","water",3,7.3,8.363,9.24,0.983,"SFS 3040 SFS-EN 25813"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,45.666,49.333,53,5.185,"SFS 3040"
"eionetMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.024,0.034,0.044,0.014,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,30.4,59,87.6,40.446,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.088872,0.101752,0.114632,0.014,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.009016,0.018032,0.02576,0.009,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",3,65.2,73.4,80.6667,7.7755,"EN 25813:1992"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",2,0.002576,0.007728,0.014168,0.006,"SFS 3032 + EN ISO 11732"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,47.25,55.125,63,11.136,"SFS 3040"
"euMonitoringSiteCode","LW","CAS_14798-03-9","total","water",3,0.03864,0.2576,0.471408,0.167,"SFS 3032 + EN ISO 11732"
"eionetMonitoringSiteCode","LW","CAS_7723-14-0","total","water",2,0.005,0.005,0.006,0,"SFS 3026"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,64,78,92,19.799,"SFS 3040"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",1,1,1,1,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",1,69.3333,69.3333,69.3333,NA,"SFS 3040"
"euMonitoringSiteCode","GW","EEA_3132-01-2","total","water",1,2.32,2.32,2.32,0,"EN 25813:1992"
"euMonitoringSiteCode","LW","EEA_3131-01-9","total","water",2,52.5,70.75,89,25.809,"SFS 3040"
